Customer,SP,Sales_2024,INCI,Sales_Product,Composition,Demand_2025,number_of_beauty_care_products_launched,Category,Sales_Demand_Ratio,Category_Sales_Ratio,Log_Sales_2024
Customer SA,30530573.0,0.5,polysorbate 60,EUMULGIN SMS 20,Polysorbate-60,,,Emulsifier,,186680.51771064725,0.4054651081081644
Customer SA,30530573.0,0.5,polysorbate-60,EUMULGIN SMS 20,Polysorbate-60,890.0,1.0,Emulsifier,0.0005611672278338945,186680.51771064725,0.4054651081081644
Customer SA,30535838.0,0.5,polyquaternium-37,COSMEDIA ULTRAGEL 300,Polyquaternium-37,670.0,1.0,Hair Conditioner,0.0007451564828614009,51115.8779884005,0.4054651081081644
Customer SA,30537467.0,0.5,hydrogenated vegetable glycerides,CUTINA HVG,Hydrogenated Vegetable Glycerides,2960.106824925816,1.0,Emollient,0.00016885577912661978,1101643.5610301006,0.4054651081081644
Customer SA,30677301.0,0.5,sodium cocoyl isethionate,JORDAPON SCI POWDER,Sodium Cocoyl Isethionate,2960.106824925816,1.0,Surfactant,0.00016885577912661978,1706518.3117315432,0.4054651081081644
Customer SA,30795238.0,0.5,oryza sativa starch,VERDESSENCE RICETOUCH,Oryza Sativa (Rice) Starch,2960.106824925816,1.0,Thickener,0.00016885577912661978,3585.4219047619044,0.4054651081081644
Customer SA,30832555.0,0.5,hydroxypropyl starch phosphate,COSMEDIA HP STARCH,hydroxypropyl starch phosphate,2960.106824925816,1.0,Thickener,0.00016885577912661978,3585.4219047619044,0.4054651081081644
Customer NA,30528495.0,0.5,sodium coco-sulfate,SULFOPON 1216 G,Sodium Coco-Sulfate,2960.106824925816,3.0,Surfactant,0.00016885577912661978,1706518.3117315432,0.4054651081081644
Customer NA,30532605.0,0.5,pentaerythrityl distearate,CUTINA PES,Pentaerythrityl Distearate,2960.106824925816,1.0,Emollient,0.00016885577912661978,1101643.5610301006,0.4054651081081644
Customer NA,30535838.0,0.5,polyquaternium-37,COSMEDIA ULTRAGEL 300,Polyquaternium-37,40.0,39.0,Hair Conditioner,0.012195121951219513,51115.8779884005,0.4054651081081644
Customer NA,30795238.0,0.5,oryza sativa starch,VERDESSENCE RICETOUCH,Oryza Sativa (Rice) Starch,2960.106824925816,146.0,Thickener,0.00016885577912661978,3585.4219047619044,0.4054651081081644
Customer NA,30832033.0,0.5,polyglyceryl-10 stearate,EMULGADE VERDE 10 MS,polyglyceryl-10 stearate,2960.106824925816,1.0,Emulsifier,0.00016885577912661978,186680.51771064725,0.4054651081081644
